[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Finished creating instance of bean 'org.springframework.aop.config.internalAutoProxyCreator' (AbstractAutowireCapableBeanFactory.java:526)
[main] TRACE | org.springframework.context.annotation.AnnotationConfigApplicationContext | No 'messageSource' bean, using [Empty MessageSource] (AbstractApplicationContext.java:793)
[main] TRACE | org.springframework.context.annotation.AnnotationConfigApplicationContext | No 'applicationEventMulticaster' bean, using [SimpleApplicationEventMulticaster] (AbstractApplicationContext.java:816)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@42f8285e: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,springConfig,DBConfig,companyDAO,computerDAO,DBCompanyMapper,DBComputerMapper,CLIController,DBController,companyService,computerService,cli,cliAsker,cliView,aspects,HikariDataSource,org.springframework.aop.config.internalAutoProxyCreator]; root of factory hierarchy (DefaultListableBeanFactory.java:913)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' (AbstractBeanFactory.java:264)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' (AbstractBeanFactory.java:264)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor' (AbstractBeanFactory.java:264)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory' (AbstractBeanFactory.java:264)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'springConfig' (DefaultSingletonBeanRegistry.java:225)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'springConfig' (AbstractAutowireCapableBeanFactory.java:489)
[main] DEBUG | org.springframework.aop.aspectj.annotation.ReflectiveAspectJAdvisorFactory | Found AspectJ method: public java.lang.Object com.excilys.cdb.spring.aspect.Aspects.dataAccessOperation(org.aspectj.lang.ProceedingJoinPoint) throws java.lang.Throwable (ReflectiveAspectJAdvisorFactory.java:258)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Eagerly caching bean 'springConfig' to allow for resolving potential circular references (AbstractAutowireCapableBeanFactory.java:592)
